Date,ULTRACEMCO,SHREECEM,GRASIM,AMBUJACEM,ACC,DALBHARAT,RAMCOCEM,JKLAKSHMI,BIRLACORPN,HEIDELBERG,JKCEMENT,ORIENTCEM,PRISMCEM,NCLIND,BURNPUR,SOMANYCERA,CERA,HSIL,ASTRAL,SUPREMEIND
2021-07-06,6933.05,27769.1,1491.32,351.85,2022.85,2002.05,1083.4,650.75,1235.1,259.35,3019.2,146.65,134.55,220.85,14.5,642.45,4460.25,,1551.75,2163.85
2021-07-07,6925.1,27547.0,1487.93,357.45,2036.55,2044.85,1080.65,633.95,1244.7,259.0,3044.55,146.1,134.7,230.0,14.5,638.25,4488.8,,1523.25,2173.55
2021-07-08,6901.9,27581.8,1469.61,360.75,2029.5,2059.85,1077.3,634.6,1220.5,258.25,3040.05,143.75,132.3,230.25,14.5,649.1,4451.45,,1523.7,2188.4
2021-07-09,6899.55,27502.75,1494.21,363.6,2037.25,2119.8,1089.75,638.8,1250.65,258.45,3072.95,143.5,132.4,228.6,14.5,646.95,4447.25,,1525.24,2165.7
2021-07-12,7093.75,28034.95,1530.07,371.75,2072.3,2168.6,1103.4,646.3,1299.65,260.25,3238.75,146.75,138.05,229.45,14.0,661.6,4484.35,,1523.7,2131.8
2021-07-13,7128.85,28070.4,1570.41,368.95,2084.8,2196.45,1110.55,669.65,1318.6,260.95,3220.55,147.2,142.0,233.2,13.5,659.95,4428.45,,1534.5,2153.3
2021-07-14,7118.05,28414.7,1561.59,373.0,2081.55,2180.35,1109.1,659.75,1310.3,263.9,3218.65,144.65,140.9,237.0,13.0,662.85,4496.2,,1573.46,2149.1
2021-07-15,7189.65,28427.45,1551.08,386.2,2112.45,2271.55,1113.85,653.6,1352.65,264.75,3219.35,146.1,139.4,241.1,12.5,668.95,4455.2,,1576.39,2136.05
2021-07-16,7334.55,28096.15,1566.07,383.05,2129.35,2251.9,1126.0,656.55,1344.9,263.3,3158.55,145.5,139.3,247.7,12.0,673.6,4490.25,,1563.53,2129.05
2021-07-19,7312.35,27996.85,1552.63,386.55,2151.9,2227.2,1110.65,659.7,1336.15,263.3,3186.4,148.95,139.85,259.5,11.5,694.65,4430.8,,1542.41,2108.95
2021-07-20,7424.7,28082.9,1567.87,404.45,2308.85,2183.15,1104.05,701.45,1414.55,265.5,3160.45,151.15,142.8,265.25,11.0,710.75,4355.0,,1523.85,2103.15
2021-07-22,7459.0,28080.0,1575.78,400.2,2290.25,2222.2,1106.95,705.05,1438.7,266.0,3146.0,153.5,144.8,270.85,10.5,711.95,4496.05,,1536.38,2099.7
2021-07-23,7490.3,27986.4,1543.36,402.3,2337.55,2291.45,1094.7,696.45,1474.25,260.5,3077.4,151.75,142.25,262.5,10.75,709.35,4370.2,,1509.34,2101.4
2021-07-26,7616.7,27968.3,1544.11,408.1,2369.2,2226.95,1123.15,711.0,1500.85,259.6,3113.8,151.95,142.85,258.1,11.25,709.25,4363.3,,1538.7,2095.6
2021-07-27,7596.25,27865.15,1512.69,408.8,2371.7,2250.25,1060.35,727.0,1472.55,257.4,3032.55,152.4,139.95,267.05,11.75,708.9,4362.45,,1522.35,2098.7
2021-07-28,7654.65,27491.45,1527.48,409.4,2393.9,2147.9,1040.65,725.25,1488.9,253.6,3038.55,150.75,144.9,260.4,12.25,709.25,4323.8,,1523.66,2084.3
2021-07-29,7700.45,27638.95,1538.48,408.75,2364.0,2135.4,1067.05,734.95,1492.8,260.25,3178.4,156.4,137.5,259.3,12.75,710.25,4276.7,,1554.38,2079.15
2021-07-30,7619.2,28265.75,1545.21,411.15,2394.1,2139.1,1093.2,691.95,1492.6,264.65,3259.15,159.75,137.95,255.95,13.25,708.2,4453.0,,1561.31,2100.1
2021-08-02,7642.05,29294.25,1585.35,418.1,2424.0,2161.45,1094.55,678.6,1482.55,268.05,3250.5,162.4,139.65,284.15,13.75,713.95,4567.1,,1634.78,2116.95
